Instrument	Old Instrument Name	New Instrument Name	Descriptor	CEDA Instrument Record URL	Manufacturer	Model No.	Scientist	Data Product(s)	Domains
Thermo O3	york-ozone3	ncas-49i-o3-4	NCAS Thermo 49i O3 Monitor unit 4	http://catalogue.ceda.ac.uk/uuid/3f21274cd3ba40d391b154f87bfc9f25	thermo	49i	Katie Read	o3-concentration	land, sea
Aerolaser co 2		ncas-aerolaser-co-2	NCAS Aerolaser CO Monitor unit 2	NEEDS INVESTIGATION	Aero-Laser	AL5002	Katie Read	co-concentration	land, sea
Aerolaser co 1		ncas-aerolaser-co-1	NCAS Aerolaser CO Monitor unit 1	NEEDS INVESTIGATION	Aero-Laser	AL5002	Katie Read	co-concentration	land, sea
CO GC - 1		ncas-co-1	NCAS Ametek CO Monitor unit 1	NEEDS INVESTIGATION	Ametek	ta3000R	James Lee	co-concentration	land, sea
CO GC - 2		ncas-co-2	NCAS Ametek CO Monitor unit 2	NEEDS INVESTIGATION	Ametek	ta3000R	James Lee	co-concentration	land, sea
Fast NOX		ncas-fast-nox-1	NCAS Fast response NOx Monitor unit 1	NEEDS INVESTIGATION	Air Quality Design	bespoke	James Lee	nox-noxy-concentration	land, sea
High Sensitivity NOX		ncas-high-sen-nox-1	NCAS High Semsitivity NOx Monitor unit 1	NEEDS INVESTIGATION	Air Quality Design	High Performance, 2 Channel NOx monitor	James Lee	nox-noxy-concentration	land, air, sea
DC-GC-FID-1		ncas-dc-gc-fid-1	NCAS Dual Channel Gas Chromatograph with Flame Ionisation Detector unit 1	NEEDS INVESTIGATION	Perkin Elmer	GC	James Hopkins	voc-concentration	land, air, sea
DC-GC-FID-2		ncas-dc-gc-fid-2	NCAS Dual Channel Gas Chromatograph with Flame Ionisation Detector unit 2	NEEDS INVESTIGATION	Perkin Elmer	GC	James Hopkins	voc-concentration	land, air, sea
TOF gcms		ncas-gc-ms-tof-1	NCAS Dual Gas Chromatograph with Time of Flight Mass Spectrometer unit 1
GC-ms		ncas-gc-ms-1	NCAS Gas Chromatograph with Mass Spectrometer unit 1	NEEDS INVESTIGATION	bespoke	bespoke	James Hopkins	voc-concentration	land, air, sea
PAN-gc		ncas-pan-gc-1	NCAS Peroxyacetyl Nitrates Gas Chromatograph unit 1	NEEDS INVESTIGATION	bespoke	bespoke	James Hopkins	peroxyacetyl-nitrate-concentration	land, air, sea
PTRMS	uea-ptrms	ncas-ptrms-1	NCAS Proton Transfer Reaction Mass Spectrometer unit 1	http://catalogue.ceda.ac.uk/uuid/c39cb6ce89ea4b4a9c3d3d9ae602f983	onicon Analytik	bespoke	David Oram	voc-concentration	land, air, sea
Nox - 1	leeds-nox	ncas-42i-nox-1	NCAS Thermo 42i NOx Monitor unit 1	http://catalogue.ceda.ac.uk/uuid/e296a7dd92b047ba909ad7b9c742cced	thermo	42i	Lisa Whalley	nox-noxy-concentration	land, sea
O3	leeds-o3	ncas-49c-o3-1	NCAS Thermo 42c O3 Monitor unit 1	http://catalogue.ceda.ac.uk/uuid/cb9dcae55bee4f4dbc79374f6199b9d4	thermo	42c	Lisa Whalley	o3-concentration	land, sea
Dewpoint Hygrometer	leeds-dph	ncas-dewpoint-hygrometer-1	NCAS Dewpoint Hygrometer unit 1	http://catalogue.ceda.ac.uk/uuid/56cf819313ed431686aa4eae9364843c	General Eastern	Optica Chilled Mirror Hygrometer	Lisa Whalley	dew-point	land, sea
FAGE	leeds-fage	ncas-fage-1	NCAS FAGE unit 1	http://catalogue.ceda.ac.uk/uuid/fa81f4481fc0403d843dae1be91c0e01	bespoke	bespoke	Lisa Whalley	oh-concentration	land, sea
Filtered radiometer	leeds-fr-jo1d	ncas-filtered-radiometer-1	NCAS Filtered Radiometer unit 1	http://catalogue.ceda.ac.uk/uuid/a5d341f986e64aca88fb92a18fa1f77d	Metcon GmbH	Filtered radiometer	Lisa Whalley	o3-photolysis-frequencies	land, sea
Spectral radiometer		ncas-spectral-radiometer-1	NCAS Spectral Radiometer unit 2	NEEDS INVESTIGATION	Ocean Optics	QE65000	Lisa Whalley	solar-actinic-flux	land, sea
micro Fage		ncas-micro-fage-1	NCAS Aircraft FAGE unit 1	NEEDS INVESTIGATION	bespoke	bespoke	Trevor Ingham	oh-concentration	land, air, sea
radar aws		ncas-aws-2	NCAS Automatic Weather Station unit 2	NEEDS INVESTIGATION	davis instruments	Vatage Vue	Lindsay Bennett	surface-met	land
X-band radar	ncas-mobile-xband-radar	ncas-mobile-x-band-radar-1	NCAS X-Band Mobile Radar unit 1	http://catalogue.ceda.ac.uk/uuid/792da2ff61f647aa8021b4b9c06702a9	Selex	METEOR 60DX	Lindsay Bennett	radar	land
Ka-Band radar		ncas-mobile-ka-band-radar-1	NCAS Ka-Band Mobile Radar unit 1	NEEDS INVESTIGATION	METEK	MIRA-35	Chris Walden	radar	land, sea
sun photometer		ncas-sunphotometer-1	NCAS Sky-Sun-Lunar Photometer unit 1	NEEDS INVESTIGATION	Cimel	CE318-T	Chris Walden	aerosol-optical-depth	land, sea
